"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 18 23:18:21 UZT 2023","Fri Aug 18 23:18:33 UZT 2023","11941","Активность","Контрольная","Страница контрольной","TestCommandActivityTests","DeleteCommandToControlTypeActivityInCommandMode","Страница командной контрольной: можно удалить команду",""
"passed","Fri Aug 18 22:48:55 UZT 2023","Fri Aug 18 22:49:08 UZT 2023","12620","","Материал","Конструктор теста","TestBlocksAndVariantsValidationTests","CheckDuplicateTestVariant","Конструктор теста: можно дублировать вариант",""
"passed","Fri Aug 18 23:16:00 UZT 2023","Fri Aug 18 23:16:07 UZT 2023","7693","Активность","Контрольная","Прохождение теста","TestActivityStatusWithOneAttemptTests","CheckStatusScoreColorAndIcon","Страница командной контрольной: статус и цвет у количества баллов в попытке различаются в зависимости от успешности",""
"passed","Sat Aug 19 16:46:45 UZT 2023","Sat Aug 19 16:46:52 UZT 2023","7007","","Материал","Конструктор тест-тренажера","TestTrainSettingsValidationTests","AddTagInTestTrain","Конструктор теста-тренажера: можно добавлять теги знаний",""
"passed","Fri Aug 18 23:12:44 UZT 2023","Fri Aug 18 23:12:53 UZT 2023","9123","Активность","Контрольная","Прохождение теста","TestActivityPassingTests","PossibilityContinueWithIncompleteAttempt","Прохождение теста: можно продолжить выполнение незавершённой попытки",""
"passed","Fri Aug 18 22:54:37 UZT 2023","Fri Aug 18 22:54:44 UZT 2023","6240","","Материал","Конструктор теста","TestSettingsValidationTests","RemoveAuthorFromTest","Конструктор теста: можно удалить автора",""
"passed","Fri Aug 18 23:11:03 UZT 2023","Fri Aug 18 23:11:15 UZT 2023","11325","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","SuccessSaveWithCorrectValueNumberOfAttemptsInTestActivity","Редактирование контрольной: успешное сохранение при корректных значениях в 'Количество попыток сдачи'",""
"passed","Fri Aug 18 22:52:40 UZT 2023","Fri Aug 18 22:52:47 UZT 2023","7105","","Материал","Конструктор теста","TestQuestionAnswersValidationTests","CheckRemoveAnswerFromSortingQuestion","Конструктор теста: можно удалить опцию из вопроса с типом ответа 'Сортировка'",""
"passed","Sat Aug 19 16:42:35 UZT 2023","Sat Aug 19 16:42:38 UZT 2023","2758","","Материал","Конструктор тест-тренажера","TestTrainBlocksAndVariantsValidationTests","ImpossibleToAddVariantInTestTrain","Конструктор теста-тренажера: отсутствует возможность добавить вариант",""
"passed","Sat Aug 19 16:40:25 UZT 2023","Sat Aug 19 16:40:48 UZT 2023","23298","","Материал","Конструктор тест-тренажера","TestTrainAddingQuestionsTests","CheckAddQuestionInTestTrainFreeAnswerWithDiapason","Конструктор теста-тренажера: можно добавить вопрос с типом ответа “Свободный ответ” - “Диапазон”",""
